pequeños;2
indios;6
regresemos;1
encontrarás;4
luminosidad;1
calentándome;1
oscuras;3
recobrar;1
arrodilló;2
vendajes;1
abrirían;1
flojo;1
saltar;1
andaban;2
endoso;1
hijos;2
removiendo;1
nuevos;3
también;32
montonales;1
canillas;1
feos;1
igualito;2
bañarse;1
fría;2
ilusiones;2
caminos;5
cálculo;2
frío;10
corregiríamos;1
previniendo;1
cubrió;1
interese;1
despedirse;1
espuma;4
desbarata;1
interesa;1
trajeron;3
terminaría;1
atraída;1
indina;1
susana;63
entonces;70
locos;2
llenaban;2
desmontó;1
volvamos;1
alegrará;1
quiere;20
quiero;19
enseres;2
haciendo;16
ganancia;1
traspiés;1
ofrece;6
carreteros;1
alfalfa;1
hacienda;1
quiera;7
quince;1
habrá;3
descubre;1
haremos;1
van;8
quiénes;1
podido;3
vas;15
chorrear;1
prometí;5
consejo;1
invadir;1
negros;3
mata;1
palpitar;1
alevántate;1
entraba;3
buscaban;1
transparente;2
varias;2
esos;22
derechito;1
sillas;3
parezca;1
duérmete;1
terminara;3
entrado;2
desviarse;1
quehacer;1
estremecía;1
recen;1
billar;1
vello;1
condénalo;1
pidieras;1
patio;8
recostada;2
consiguen;1
almohadas;1
gorda;1
hasta;104
recostado;1
gusto;8
distrajo;1
acostumbrado;3
hombres;24
cubrir;1
contener;1
existe;7
traslado;1
dormía;6
desapareció;1
traía;3
desvelada;1
entrada;2
distancia;1
preparado;1
acostumbrada;1
apodada;1
matara;1
aldaba;1
promesa;3
picaba;1
cántaro;4
olía;1
esto;33
ofrecí;2
seguiré;1
relumbra;1
enteré;1
eco;4
muertos;8
gusta;7
tenerte;1
tomar;2
polvo;6
morena;1
ven;8
mató;4
veo;10
ver;56
encuentran;1
provocador;2
limosna;4
ves;9
terminó;4
vez;70
destilar;2
dientes;4
sueños;11
cocorriendo;1
este;30
monedas;2
esta;12
cuidamos;1
gallinas;2
éstas;2
habló;4
apachurrado;1
preguntas;1
preguntar;2
cruzados;1
telégrafo;1
midió;1
recio;1
acerca;3
dejáramos;1
sagrario;1
luego;47
quieto;5
muchachita;2
pusiste;1
alcance;1
muy;43
prometo;1
aprender;1
asesinato;2
denme;2
quieta;2
torcer;1
disposición;2
peregrinación;1
daban;1
suaves;3
amonestaciones;1
ruegos;2
alzaba;1
coconozco;1
valencia;2
grave;1
árboles;3
conchavaba;1
mandado;2
poder;5
dolores;12
mandaríamos;1
sería;3
anidan;1
diablo;1
comía;1
regresaron;1
sucediendo;1
petróleo;2
hilvanando;1
existir;1
muchachito;1
hirviendo;2
preparen;2
obispo;2
crujir;3
lloriqueo;1
picoteando;1
despavorido;1
tranquila;5
celebrando;1
esté;2
espumosas;1
toda;8
liviano;2
posible;2
puños;1
desarmaron;1
camisón;1
tranquilo;1
colar;1
pasada;3
donis;6
perseverancio;3
permiso;2
obediencia;1
acostumbrarás;1
ardoroso;1
febrero;3
escondiera;1
vio;19
abajo;12
viste;2
mayor;6
permite;1
oyen;4
visto;9
oyes;11
toca;2
estos;7
sonreír;1
pilmama;1
cocon;3
encarrerados;1
está;77
estoy;54
llevaré;1
flaca;1
rancho;2
risas;2
contimás;1
entretuvo;1
dificultades;2
mortifique;2
vista;5
hacerme;1
antemano;1
ensangrentadas;1
zapatazos;1
envuelto;3
trasera;1
fulanos;1
batalla;1
sonrisa;2
cristóbal;2
establecerme;1
conteniendo;1
lombrices;1
envolviendo;1
sonreías;1
abrió;7
vendrías;1
pasado;19
ésos;4
nudos;1
plagados;1
aguántate;2
todo;76
oyeron;1
suspiros;2
necesites;1
simplemente;2
pisando;1
preguntaron;1
mañanas;2
ayudó;1
haría;5
díselos;1
olían;1
mostrador;3
insignificante;1
remedio;3
sentidos;1
recibes;1
manojos;1
reciben;1
ruego;1
reojo;2
jaiz;1
emparejar;1
brazo;3
ocupados;1
cazuela;1
amarillos;1
tocó;6
paraíso;2
ruega;2
estuviera;12
abandono;2
alquilados;1
golpe;3
ignorante;1
niño;10
elodia;1
donde;62
momoví;1
anoche;6
niña;1
envuelta;2
aluzada;1
hacerle;1
amansador;1
matado;8
vengarse;1
pabellones;1
hacerlo;5
significa;1
ayudarle;1
perdonara;1
interrumpió;1
enmohecidos;1
